sysTime,driveMode,gyroYaw,leftEncoder,rightEncoder,leftEncoderVel,rightEncoderVel,leftMotorPercent,rightMotorPercent,leftMotorVoltage,rightMotorVoltage,leftMotorCurrent,rightMotorCurrent,driveStick,turnStick,leftPathPos,leftPathVel,leftPathAcc,rightPathPos,rightPathVel,rightPathAcc,pathHdg,pathStep0,pathStep1,leftBusVoltage,rightBusVoltage,leftTemp,rightTemp,leftHasResetOccurred,rightHasResetOccurred,leftIsSafetyEnabled,rightIsSafetyEnabled
169259751,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
175055719,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
183594085,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
194396131,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
203288887,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
217376209,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
232482224,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
240309122,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
253367513,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
262977056,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
274976408,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
283068780,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
294650388,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
308525667,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
318950088,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
330991636,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
336975976,OPEN_LOOP,0.0,-592.0,-214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,12.65,12.6,29.0,26.0,false,false,false,false
